"Title","Artist","Year","genre","lyrics"
"great balls of fire","jerry lee lewis","1958","Country","you shake my nerves and you rattle my brain too much love drives a man insane you broke my will oh what a thrill goodness gracious great balls of fire i learned to love all of hollywood money you came along and you moved me honey i changed my mind looking fine goodness gracious great balls of fire you kissed me baby woo it feels good hold me baby i wanna love you like a lover should you're fine so kind i'm gonna tell this world that your mine mine mine mine i chew my nails and i twiddle my thumbs i'm really nervous but it sure is fun come on baby you drive me crazy goodness gracious great balls of fire well kiss me baby woo-oooooo it feels good hold me baby i want to love you like a lover should you're fine so kind i gonna this world that your mine mine mine mine i chew my nails and i twiddle my thumbs i'm real nervous but it sure is fun come on baby you drive me crazy goodness gracious great balls of fire"
"the story of my life","marty robbins","1958","Country","someday i'm going to write the story of my life i'll tell about the night we met and how my heart can't forget the way you smiled at me i want the world to know the story of my life about the night your lips met mine and that first exciting time i held you close to me the sorrow in our love was breakin' up the mem'ry of a broken heart but later on the joy of makin' up never never more to part there's one thing left to do before my story's through i've got to take you for my wife so the story of my life can start and end with you the sorrow in our love was breakin' up the mem'ry of a broken heart but later on the joy of makin' up never never more to part there's one thing left to do before my story's through i've got to take you for my wife so the story of my life can start and end can start and end can start and end with you"
"ballad of a teenage queen","johnny cash","1958","Country","there's a story in our town of the prettiest girl around golden hair and eyes of blue how those eyes could flash at you how those eyes could flash at you boys hung 'round her by the score but she loved the boy next door who worked at the candy store dream on dream on teenage queen prettiest girl we've ever seen she was queen of the senior prom she could cook just like her mom she had everything at sea pure delight this teenage queen pure delight this teenage queen other boys could offer more but she loved the boy next door who worked at the candy store dream on dream on teenage queen you should be a movie queen he would marry her next spring saved his money bought a ring then one day a movie scout came to town to take her out came to town to take her out hollywood could offer more so she left the boy next door who worked at the candy store dream on dream on teenage queen see you on the movie screen very soon she was a star pretty house and shiny cars swimming pool and a fence around but she missed her old home town but she missed her old home town all the world was at her door all except the boy next door who worked at the candy store dream on dream on teenage queen saddest girl we've ever seen then one day this teenage star sold her house and all her cars gave up all her wealth and fame left it all and caught a train left it all and caught a train next day she was at the door of the lonely boy next door who works at the candy store now this story has some more you'll hear it all at the candy store"
"oh lonesome me","don gibson","1958","Country","everybody's going out and having fun i'm just a fool for staying home and having none i can't get over how she set set me free oh lonesome me a bad mistake i'm making by just hanging round i know that i should have some fun and paint the town a lovesick fool is blind and just can't see oh lonesome me i'll bet she's not like me she's out and fancy free she's flirtin' with the boys with all her charms but i still love her so and brother don't you know i'd welcome her right back here in my arms well there must be some way i can lose these lonesome blues forget about the past and find somebody new i've thought of everything from a to z oh lonesome me well i'll bet she's not like me oh lonesome me oh lonesome me"
"blue blue day","don gibson","1958","Country","it's been a blue blue day i feel like runnin' away i feel like runnin' away from it all my love has been untrue she's found somebody new it's been a blue blue day for me i feel like cryin' dyin' what can i do feel like prayin' sayin' i'm glad we're through it's been a blue blue day i feel like runnin' away i feel like runnin' away from the blues i cannot make believe that i don't sit and grieve it's been a blue blue day for me i can't pretend and say that i don't love her anyway it's been a blue blue day for me i feel like cryin' dyin' what can i do feel like prayin' sayin' i'm glad we're through it's been a blue blue day i feel like runnin' away i feel like runnin' away from the blues i feel like runnin' away from the blues"
"city lights","ray price","1959","Country","ray price miscellaneous city lights ray price city lights a bright array of city lights as far as i can see the great white wave shines through the night for lonely guys like me the cabarets and honky-tonks there flashing signs invite a broken heart to lose itself in the glow of city lights lights that say forget her name and a glass of sherry wine lights that offer other girls for empty hearts like mine they paint a pretty picture of a world that’s gay and bright but it's just a mask for loneliness behind those city lights the world was dark and god made stars to brighten up the nightbut god who put the stars above i don't believe made those lights for it's just a place for men to cry when things don't turn out right just a place to run away and hide behind those city lights lights that say forget her love in a different atmosphere lights that lure are nothing but a masquerade for tears they paint a pretty picture but my arms can't hold her tight and i just can't say i love to a street of city lights"
"billy bayou","jim reeves","1959","Country","back about eighteen hundred and some a louisiana couple had a red-headed son no name suited him jim jack or joe so they just called him billy bayou billy billy bayou watch where you go if you're walkin' on quicksand walk slow billy billy bayou watch what you say a pretty girl'll get you one of these days billy was a boy kinda big for his size red hair freckles and big blue eyes thirteen years from the day he was born billy fought the battle of the little big horn billy billy bayou watch where you go if you're walkin' on quicksand walk slow billy billy bayou watch what you say a pretty girl'll get you one of these days one sad day billy cried ""ho ho! i can lick the feathers off of geronimo"" he started off the chief got mad this nearly ended our louisiana lad billy billy bayou watch where you go if you're walkin' on quicksand walk slow billy billy bayou watch what you say a pretty girl'll get you one of these days one day in eighteen seventy-eight a pretty girl walked through bill's front gate he didn't know whether to stand there or run he wound up married 'cuz he didn't either one billy billy bayou watch where you go if you're walkin' on quicksand walk slow billy billy bayou watch what you say a pretty girl'll get you one of these days a pretty girl'll get you one of these days"
"don't take your guns to town","johnny cash","1959","Country","a young cowboy named billy joe grew restless on the farm a boy filled with wanderlust who really meant no harm he changed his clothes and shined his boots and combed his dark hair down and his mother cried as he walked out don't take your guns to town son leave your guns at home bill don't take your guns to town he laughed and kissed his mom and said ""your billy joe's a man"" i can shoot as quick and straight as anybody can but i wouldn't shoot without a cause; i'd gun nobody down"" but she cried again as he rode away don't take your guns to town son leave your guns at home bill don't take your guns to town he sang a song as on he rode his guns hung at his hips he rode into a cattle town a smile upon his lips he stopped and walked into a bar and laid his money down but his mother's words echoed again don't take your guns to town son leave your guns at home bill don't take your guns to town he drank his first strong liquor then to calm his shaking hand and tried to tell himself at last he had become a man a dusty cowpoke at his side began to laugh him down and he heard again his mothers words don't take your guns to town son leave your guns at home bill don't take your guns to town filled with rage then billy joe reached for his gun to draw but the stranger drew his gun and fired before he even saw as billy joe fell to the floor the crowd all gathered 'round and wondered at his final words don't take your guns to town son leave your guns at home bill don't take your guns to town"
"when it's springtime in alaska it's forty below","johnny horton","1959","Country","i mushed from port barren through a blizzard of snow been out prospecting for two years or so pulled into fairbanks the city was a boon so i took a little stroll to the red dog saloon as i walked in the door the music was clear the prettiest voice i had heard in two years the song she was singin' made a man's blood run cold when it's springtime in alaska it's forty below when it's springtime in alaska it's forty below it was red headed lil who was singin' so sweet i reached down and took the snow packs off my feet i reached for the gal who was singin' the tune we did the eskimo hop all around the saloon where the caribou crawl and the grizzly bear hug we did our dance on a kodiak rug the song she kept singing made a man's blood run cold when it's springtime in alaska it's forty below i was as innocent as i could be i didn't know lil was big ed's wife to be he took out his knife and he gave it a throw when it's springtime in alaska i'll be six feet below when it's springtime in alaska he'll be six feet below"
"white lightning","george jones","1959","Country","well in the north of carolina way back in the hills me and my old pappy and he had him a still he brewed white lightnin' till the sun went down and then you'd fill him a jug and he'd pass it around mighty mighty pleasin' pappy's corn squeezin' ssh white lightning well the ""g"" men ""t"" men revenuers too searchin' for the place where he made his brew they were looking tryin to book him but my pappy kept on cookin' phoo white lightning well i asked my old pappy why he called his brew white lightning 'stead of mountain dew i took a little sip and right away i knew as my eyes bugged out and my face turned blue lightning started flashin' thunder started clashin' fshhh white lightnin' well the ""g"" men ""t"" men revenuers too searchin' for the place where he made his brew they were looking tryin to book him but my pappy kept on cookin' whshh white lightning well a city slicker came and he said ""i'm tough"" i think i want to taste that powerful stuff he took one s-slug and drank it right down and i heard him a-moaning as he hit the ground mighty mighty pleasin' your pappy's corn squeezin' sshoo white lightning the ""g"" men ""t"" men revenuers too searchin' for the place where he made his brew they were looking tryin' to book him but my pappy kept on cookin' sshoo white lightning"
